Z,N,T_half_sec,DecMode
84,114,105.6,A
84,115,328.2,EC
84,116,690.6,EC
84,117,936,EC
84,118,2676,EC
84,119,2202,EC
84,120,12668.4,EC
84,121,6264,A
84,122,760320.0000000001,A
84,123,20880,EC
84,124,9.145E7,EC
84,125,3.913E9,A
84,126,1.196E7,A
84,127,0.516,A
84,128,2.99E-7,A
84,129,3.72E-6,A
84,130,1.636E-4,A
84,131,0.00178,A
84,132,0.145,A
84,133,1.53,A
84,134,185.88,A
84,135,620,A
84,136,3.0000000000000004E-7,B-
84,137,112,B-
84,138,550,B-
84,139,3.0000000000000004E-7,B-
84,140,3.0000000000000004E-7,B-
84,141,3.0000000000000004E-7,B-
84,142,3.0000000000000004E-7,B-
84,143,3.0000000000000004E-7,B-
85,106,0.0017,A
85,107,0.0115,A
85,108,0.028,A
85,109,0.31,A
85,110,0.29,A
85,111,0.388,EC
85,112,0.388,A
85,113,4.2,A
85,114,6.92,A
85,115,43,EC
85,116,85.2,A
85,117,184,A
85,118,444,EC
85,119,547.2,EC
85,120,1614,EC
85,121,1836,EC
85,122,6516,EC
85,123,5868,EC
85,124,19512,EC
85,125,29160,EC
85,126,25970.4,A
85,127,0.314,B-
85,128,1.25E-7,A
85,129,5.58E-7,A
85,130,1E-4,A
85,131,3E-4,A
85,132,0.0323,A
85,133,1.5,A
85,134,56,B-
85,135,222.6,B-
85,136,138,B-
85,137,54,B-
85,138,50,B-
85,139,78,B-
85,140,3.0000000000000004E-7,B-
85,141,3.0000000000000004E-7,B-
85,142,3.0000000000000004E-7,B-
85,143,3.0000000000000004E-7,B-
85,144,3.0000000000000004E-7,B-
86,107,0.00115,A
86,108,7.8E-4,A
86,109,0.006,A
86,110,0.0044,A
86,111,0.054,A
86,112,0.065,EC
86,113,0.59,A
86,114,1.03,A
86,115,7,A
86,116,9.7,A
86,117,44,EC
86,118,74.5,EC
86,119,170,EC
86,120,340.2,A
86,121,555,EC
86,122,1461,A
86,123,1728,EC
86,124,8640,A
86,125,52560,A
86,126,1434,A
86,127,0.0195,A
86,128,2.7E-7,A
86,129,2.3E-6,A
86,130,4.5E-5,A
86,131,5.4E-4,A
86,132,0.035,A
86,133,3.96,A
86,134,55.6,A
86,135,1500,B-
86,136,330350.4,A
86,137,1458,B-
86,138,6420,B-
86,139,279.6,B-
86,140,444,B-
86,141,20.2,B-
86,142,65,B-
86,143,12,B-
86,144,3.0000000000000004E-7,B-
86,145,3.0000000000000004E-7,B-
87,110,6E-4,A
87,111,0.015,EC
87,112,0.0045,A
87,113,0.049,A
87,114,0.062,A
87,115,0.372,A
87,116,0.55,A
87,117,1.8,A
87,118,3.97,A
87,119,16,A
87,120,14.8,A
87,121,59.1,EC
87,122,50.5,A
87,123,190.8,A
87,124,186,A
87,125,1200,EC
87,126,34.82,A
87,127,0.005,A
87,128,8.6E-8,A
87,129,7.000000000000001E-7,A
87,130,1.9E-5,A
87,131,0.001,A
87,132,0.02,A
87,133,27.4,A
87,134,286.1,A
87,135,852,B-
87,136,1320,B-
87,137,199.8,B-
87,138,237,B-
87,139,49,B-
87,140,148.2,B-
87,141,38,B-
87,142,50.2,B-
87,143,19.1,B-
87,144,17.6,B-
87,145,5.5,B-
87,146,0.9,B-
88,113,0.0016,A
88,114,0.0038,A
88,115,0.031,A
88,116,0.057,A
88,117,0.21,A
88,118,0.24,A
88,119,1.35,A
88,120,1.3,A
88,121,4.6,EC
88,122,3.7,A
88,123,13,EC
88,124,13,A
88,125,0.00273,A
88,126,2.46,A
88,127,0.00166,A
88,128,1.82E-7,A
88,129,1.6E-6,A
88,130,2.52E-5,A
88,131,0.01,A
88,132,0.018,A
88,133,28,A
88,134,38,A
88,135,987552,A
88,136,313796.16,A
88,137,1287360,B-
88,138,5.0492E10,A
88,139,2532,B-
88,140,1.815E8,B-
88,141,240,B-
88,142,5580,B-
88,143,104,B-
88,144,252,B-
88,145,30,B-
88,146,30,B-
89,116,0.02,A
89,117,0.022,A
89,118,0.027,A
89,119,0.095,A
89,120,0.087,A
89,121,0.35,EC
89,122,0.21,A
89,123,0.93,A
89,124,0.738,A
89,125,8.2,EC
89,126,0.17,A
89,127,4.4E-4,A
89,128,6.9E-8,A
89,129,1.08E-6,A
89,130,1.18E-5,A
89,131,0.0264,EC
89,132,0.052,A
89,133,5,A
89,134,126,A
89,135,10008,EC
89,136,857088,A
89,137,105732,B-
89,138,6.871E8,A
89,139,22140,B-
89,140,3762,B-
89,141,122,B-
89,142,450,B-
89,143,119,B-
89,144,145,B-
89,145,44,B-
89,146,62,B-
89,147,72,B-
89,148,,B-
90,118,0.0017,A
90,119,0.0025,A
90,120,0.016,A
90,121,0.037,A
90,122,0.0317,A
90,123,0.144,A
90,124,0.087,A
90,125,1.2,A
90,126,0.026,A
90,127,2.41E-4,A
90,128,1.17E-7,A
90,129,1.05E-6,A
90,130,9.7E-6,A
90,131,0.00168,A
90,132,0.0028,A
90,133,0.6,A
90,134,1.04,A
90,135,525,A
90,136,1834.2,A
90,137,1615420.8,A
90,138,6.0354E7,A
90,139,2.503E11,A
90,140,2.379E12,A
90,141,91872,B-
90,142,4.418E17,A
90,143,1309.8,B-
90,144,2082240.0000000002,B-
90,145,426,B-
90,146,2238,B-
90,147,282,B-
90,148,564,B-
90,149,,B-
91,120,3.0000000000000004E-7,A
91,121,0.0051,A
91,122,0.0053,A
91,123,0.017,A
91,124,0.014,A
91,125,0.15,A
91,126,0.0036,A
91,127,1.13E-4,A
91,128,5.3E-8,A
91,129,7.8E-7,A
91,130,5.9E-6,A
91,131,0.0029,A
91,132,0.0051,A
91,133,0.846,A
91,134,1.7,A
91,135,108,A
91,136,2298,A
91,137,79200,EC
91,138,129600,EC
91,139,1503359.1,EC
91,140,1.0338E12,A
91,141,114048,B-
91,142,2330640,B-
91,143,24120,B-
91,144,1464,B-
91,145,546,B-
91,146,522,B-
91,147,136.8,B-
91,148,6480,B-
91,149,,B-
92,124,0.0045,A
92,125,0.016,A
92,126,5.1E-4,A
92,127,4.2E-5,A
92,128,,A
92,129,6.6E-7,A
92,130,4.7E-6,A
92,131,1.8E-5,A
92,132,8.4E-4,A
92,133,0.095,A
92,134,0.268,A
92,135,66,A
92,136,546,A
92,137,3480,A
92,138,1797120,A
92,139,362880,EC
92,140,2.174E9,A
92,141,5.024E12,A
92,142,7.747E12,A
92,143,2.222E16,A
92,144,7.391E14,A
92,145,583200,B-
92,146,1.41E17,A
92,147,1407,B-
92,148,50760,B-
92,149,,B-
92,150,1008,B-
92,151,,
93,132,0.0036,A
93,133,0.035,A
93,134,0.51,A
93,135,61.4,A
93,136,240,A
93,137,276,EC
93,138,2928,EC
93,139,882,EC
93,140,2172,EC
93,141,380160.00000000006,EC
93,142,3.422E7,EC
93,143,4.828E12,EC
93,144,6.766E13,A
93,145,182908.8,B-
93,146,203558.4,B-
93,147,3714,B-
93,148,834,B-
93,149,132,B-
93,150,111,B-
93,151,137.4,B-
93,152,,
94,134,1.1,A
94,135,67,EC
94,136,102,A
94,137,516,EC
94,138,2027.1,EC
94,139,1254,EC
94,140,31680.000000000004,EC
94,141,1518,A
94,142,9.0192E7,A
94,143,3943296,A
94,144,2.768E9,A
94,145,7.609E11,A
94,146,2.0705E11,A
94,147,4.522E8,A
94,148,1.183E13,A
94,149,17841.6,B-
94,150,2.525E15,A
94,151,37800,B-
94,152,936576,B-
94,153,196128,B-
95,135,17,EC
95,136,,A
95,137,79,A
95,138,192,A
95,139,139.2,EC
95,140,618,EC
95,141,216,A
95,142,4416,EC
95,143,5880,A
95,144,42840,EC
95,145,182880,A
95,146,1.365E10,A
95,147,57672,EC
95,148,2.324E11,A
95,149,36360,B-
95,150,7379.1,B-
95,151,2340,B-
95,152,1380,B-
95,153,600,B-
95,154,,B-
96,137,23,EC
96,138,51,SF
96,139,,A
96,140,,EC
96,141,,EC
96,142,7920.000000000001,A
96,143,9720,EC
96,144,2332800,A
96,145,2833919.1,EC
96,146,1.407E7,A
96,147,9.183E8,SF
96,148,5.712E8,A
96,149,2.658E11,A
96,150,1.485E11,A
96,151,4.923E14,A
96,152,1.0982E13,A
96,153,3849.0000000000005,B-
96,154,2.619E11,A
96,155,1008,B-
96,156,172800,
97,137,140,EC
97,138,,EC
97,139,,
97,140,60,A
97,141,144,EC
97,142,,A
97,143,288,EC
97,144,276,EC
97,145,420,EC
97,146,16200,EC
97,147,15659.1,EC
97,148,427680,EC
97,149,155520,EC
97,150,4.355E10,A
97,151,2.84E8,A
97,152,2.851E7,B-
97,153,11563.2,B-
97,154,3336,B-
97,155,,
97,156,600,B-
97,157,,
98,139,0.8,SF
98,140,0.0211,SF
98,141,39,EC
98,142,64,A
98,143,226.8,EC
98,144,209.4,EC
98,145,642,EC
98,146,1164,A
98,147,2700,EC
98,148,128520.00000000001,SF
98,149,11196,EC
98,150,2.881E7,A
98,151,1.108E10,A
98,152,4.128E8,SF
98,153,2.834E10,A
98,154,8.347E7,A
98,155,1538784,B-
98,156,5227200,SF
98,157,5100,B-
98,158,738,SF
99,141,,EC
99,142,8,EC
99,143,17.8,EC
99,144,21,A
99,145,37,A
99,146,66,EC
99,147,450,A
99,148,273,EC
99,149,1440,EC
99,150,6132,EC
99,151,30960,EC
99,152,118800,EC
99,153,4.0755E7,A
99,154,1768608,SF
99,155,2.382E7,A
99,156,3438719.1,B-
99,157,1524,B-
99,158,665280,B-
99,159,,EC
100,141,7.3E-4,SF
100,142,4E-6,SF
100,143,0.231,A
100,144,0.00312,A
100,145,4.2,A
100,146,1.54,EC
100,147,31,A
100,148,34.5,A
100,149,156,A
100,150,1800,A
100,151,19080,EC
100,152,91404,SF
100,153,259200,EC
100,154,11664,A
100,155,72252,SF
100,156,9456,SF
100,157,8683200,A
100,158,3.7E-4,SF
100,159,1.5,SF
100,160,0.004,SF
101,144,9.000000000000001E-4,SF
101,145,0.9,A
101,146,1.2,SF
101,147,13,A
101,148,21.7,A
101,149,25,A
101,150,256.2,EC
101,151,138,EC
101,152,360,A
101,153,1680,EC
101,154,1620,EC
101,155,4620,EC
101,156,19872,A
101,157,4449600,A
101,158,5760,SF
101,159,2747520,A
101,160,,A
101,161,,A
102,146,2E-6,SF
102,147,,
102,148,4.2E-6,A
102,149,0.8,A
102,150,2.44,A
102,151,97.2,EC
102,152,51,A
102,153,211.2,EC
102,154,2.91,A
102,155,24.5,A
102,156,0.0012,SF
102,157,3480,A
102,158,0.106,SF
102,159,,A
102,160,0.005,SF
102,161,,A
102,162,,A
103,148,,EC
103,149,0.36,A
103,150,0.57,A
103,151,18.4,EC
103,152,31.1,A
103,153,27,A
103,154,4,A
103,155,4.1,SF
103,156,6.2,A
103,157,180,SF
103,158,2340,SF
103,159,14400,A
103,160,,A
103,161,,SF
103,162,,A
103,163,39600,SF
104,149,4.8E-5,SF
104,150,2.3E-5,SF
104,151,1.68,EC
104,152,0.00667,SF
104,153,4.4,EC
104,154,0.0147,SF
104,155,2.4,A
104,156,0.021,SF
104,157,68,A
104,158,2.3,SF
104,159,600,SF
104,160,,A
104,161,60,SF
104,162,,SF
104,163,,
104,164,,A
105,150,1.6,A
105,151,1.6,A
105,152,2.3,A
105,153,4.2,SF
105,154,0.51,A
105,155,1.52,EC
105,156,1.8,A
105,157,35,SF
105,158,27,SF
105,159,,A
105,160,,A
105,161,,A
105,162,4380,SF
105,163,115200,SF
105,164,,A
105,165,3600,A
106,152,0.0029,SF
106,153,0.29,EC
106,154,0.00495,A
106,155,0.178,A
106,156,0.0069,SF
106,157,1,A
106,158,0.037,SF
106,159,14.4,SF
106,160,21,SF
106,161,,
106,162,,A
106,163,186,A
106,164,,A
106,165,144,A
106,166,,A
106,167,,SF
107,153,0.035,A
107,154,0.0118,SF
107,155,0.022,A
107,156,,A
107,157,0.44,A
107,158,0.9,A
107,159,1.7,A
107,160,17,A
107,161,,
107,162,,
107,163,60,A
107,164,,A
107,165,10,A
107,166,,SF
107,167,54,A
107,168,,SF
108,155,7.4E-4,SF
108,156,8E-4,SF
108,157,0.0019,SF
108,158,0.0023,A
108,159,0.052,SF
108,160,0.4,A
108,161,9.7,A
108,162,22,A
108,163,,A
108,164,,SF
108,165,0.76,A
108,166,,SF
108,167,0.15,A
108,168,,A
108,169,0.003,A
109,156,,A
109,157,0.0017,A
109,158,,A
109,159,0.021,A
109,160,,
109,161,0.005,A
109,162,,A
109,163,,A
109,164,,A
109,165,0.44,A
109,166,0.0097,A
109,167,0.72,A
109,168,5,A
109,169,8,A
109,170,,SF
110,157,2.8E-6,A
110,158,,A
110,159,1.79E-4,A
110,160,1E-4,SF
110,161,0.00163,A
110,162,,SF
110,163,1.7E-4,A
110,164,,A
110,165,,A
110,166,,SF
110,167,0.0041,A
110,168,,SF
110,169,0.18,SF
110,170,,
110,171,13,A
111,161,0.0038,A
111,162,,A
111,163,0.0064,A
111,164,,A
111,165,,A
111,166,,SF
111,167,0.0042,SF
111,168,0.17,A
111,169,3.6,A
111,170,17,A
111,171,0.5,A
111,172,,SF
112,164,,
112,165,,
112,166,,A
112,167,,A
112,168,,A
112,169,0.13,A
112,170,5E-4,SF
112,171,4,A
112,172,0.101,SF
112,173,30,A
113,165,2.4E-4,A
113,166,,
113,167,,
113,168,,
113,169,0.07,A
113,170,0.1,A
113,171,0.48,A
113,172,5.5,A
113,173,20,A
113,174,,A
114,170,0.0025,SF
114,171,0.15,A
114,172,0.16,A
114,173,0.51,A
114,174,0.52,A
114,175,0.97,A
115,172,0.032,A
115,173,0.087,A
115,174,0.22,A
115,175,0.016,A
115,176,,A
116,173,,
116,174,0.015,A
116,175,0.0063,A
116,176,0.018,A
116,177,0.053,A
117,174,,SF
117,175,,SF
117,176,0.014,SF
117,177,0.08,A
